-0.461178,0.075322,1.533693,-1.702214,-2.071154,-0.934434
-0.461499,0.074848,1.533472,-1.702922,-2.072861,-0.937335
-0.461819,0.074374,1.533251,-1.703631,-2.074568,-0.940236
-0.462122,0.073898,1.532989,-1.704405,-2.076257,-0.943051
-0.462424,0.073423,1.532726,-1.705178,-2.077946,-0.945866
-0.462705,0.072945,1.532413,-1.706028,-2.079609,-0.948581
-0.462985,0.072466,1.532099,-1.706879,-2.081272,-0.951296
-0.463247,0.071986,1.531734,-1.707804,-2.082910,-0.953905
-0.463508,0.071505,1.531368,-1.708728,-2.084547,-0.956513
-0.463751,0.071026,1.530955,-1.709719,-2.086161,-0.959016
-0.463994,0.070546,1.530542,-1.710710,-2.087775,-0.961518
-0.464226,0.070065,1.530082,-1.711758,-2.089380,-0.963919
-0.464458,0.069584,1.529622,-1.712805,-2.090985,-0.966319
-0.464693,0.069090,1.529106,-1.713898,-2.092609,-0.968619
-0.464927,0.068596,1.528590,-1.714992,-2.094234,-0.970918
-0.465166,0.068089,1.528019,-1.716124,-2.095881,-0.973117
-0.465405,0.067581,1.527448,-1.717256,-2.097528,-0.975315
-0.465640,0.067072,1.526836,-1.718417,-2.099179,-0.977404
-0.465876,0.066562,1.526225,-1.719578,-2.100830,-0.979494
-0.466102,0.066059,1.525584,-1.720761,-2.102473,-0.981462
-0.466329,0.065556,1.524943,-1.721943,-2.104116,-0.983431
-0.466543,0.065063,1.524277,-1.723145,-2.105742,-0.985269
-0.466757,0.064570,1.523610,-1.724347,-2.107369,-0.987107
-0.466949,0.064100,1.522934,-1.725561,-2.108957,-0.988810
-0.467141,0.063630,1.522258,-1.726774,-2.110545,-0.990513
-0.467298,0.063206,1.521601,-1.727979,-2.112066,-0.992071
-0.467455,0.062782,1.520945,-1.729184,-2.113587,-0.993630
-0.467566,0.062418,1.520325,-1.730376,-2.115020,-0.995028
-0.467678,0.062054,1.519705,-1.731567,-2.116453,-0.996427
-0.467739,0.061759,1.519130,-1.732741,-2.117787,-0.997660
